urine rate,diffusion coefficients,bladder steady state,time to blockage
5.0,0.0001,740642.0,2.4583333333333335
6.0,0.0001,688726.0,2.4583333333333335
7.0,0.0001,636812.0,2.5
8.0,0.0001,584902.0,2.5
9.0,0.0001,532997.0,2.5416666666666665
10.0,0.0001,481099.0,2.5416666666666665
11.0,0.0001,429209.0,2.5833333333333335
12.0,0.0001,377331.0,2.5833333333333335
13.0,0.0001,325470.0,2.625
14.0,0.0001,273637.0,2.6666666666666665
15.0,0.0001,221851.0,2.7083333333333335
16.0,0.0001,170154.0,2.7083333333333335
17.0,0.0001,118657.0,2.75
18.0,0.0001,67801.2,2.7916666666666665
18.5,0.0001,43256.3,2.8333333333333335
19.0,0.0001,21322.6,2.8333333333333335
19.5,0.0001,8164.37,2.875
20.0,0.0001,3983.05,2.875
21.0,0.0001,1835.15,2.9166666666666665
22.0,0.0001,1179.83,2.9583333333333335
23.0,0.0001,867.8530000000001,2.9583333333333335
24.0,0.0001,685.998,3.0
25.0,0.0001,567.033,3.0
27.5,0.0001,395.43,3.0416666666666665
30.0,0.0001,303.518,3.0416666666666665
32.5,0.0001,246.263,3.0833333333333335
35.0,0.0001,207.176,3.0833333333333335
37.5,0.0001,178.795,3.125
40.0,0.0001,157.252,3.125
5.0,2.9999999999999997e-05,740425.0,3.875
6.0,2.9999999999999997e-05,688495.0,3.875
7.0,2.9999999999999997e-05,636567.0,3.9166666666666665
8.0,2.9999999999999997e-05,584639.0,3.9166666666666665
9.0,2.9999999999999997e-05,532712.0,3.9583333333333335
10.0,2.9999999999999997e-05,480788.0,3.9583333333333335
11.0,2.9999999999999997e-05,428867.0,4.0
12.0,2.9999999999999997e-05,376949.0,4.041666666666667
13.0,2.9999999999999997e-05,325038.0,4.041666666666667
14.0,2.9999999999999997e-05,273135.0,4.083333333333333
15.0,2.9999999999999997e-05,221248.0,4.125
16.0,2.9999999999999997e-05,169391.0,4.166666666666667
17.0,2.9999999999999997e-05,117601.0,4.208333333333333
18.0,2.9999999999999997e-05,66037.3,4.25
18.5,2.9999999999999997e-05,40598.9,4.291666666666667
19.0,2.9999999999999997e-05,16611.9,4.291666666666667
19.5,2.9999999999999997e-05,3445.53,4.333333333333333
20.0,2.9999999999999997e-05,1389.02,4.333333333333333
21.0,2.9999999999999997e-05,610.035,4.375
22.0,2.9999999999999997e-05,389.31699999999995,4.416666666666667
23.0,2.9999999999999997e-05,285.709,4.458333333333333
24.0,2.9999999999999997e-05,225.61599999999999,4.458333333333333
25.0,2.9999999999999997e-05,186.396,4.5
27.5,2.9999999999999997e-05,129.917,4.5
30.0,2.9999999999999997e-05,99.7011,4.541666666666667
32.5,2.9999999999999997e-05,80.8869,4.541666666666667
35.0,2.9999999999999997e-05,68.0456,4.583333333333333
37.5,2.9999999999999997e-05,58.7228,4.583333333333333
40.0,2.9999999999999997e-05,51.6466,4.583333333333333
5.0,1e-05,740417.0,6.083333333333333
6.0,1e-05,688487.0,6.125
7.0,1e-05,636557.0,6.125
8.0,1e-05,584628.0,6.166666666666667
9.0,1e-05,532701.0,6.208333333333333
10.0,1e-05,480776.0,6.208333333333333
11.0,1e-05,428853.0,6.25
12.0,1e-05,376934.0,6.25
13.0,1e-05,325020.0,6.291666666666667
14.0,1e-05,273115.0,6.333333333333333
15.0,1e-05,221224.0,6.375
16.0,1e-05,169361.0,6.416666666666667
17.0,1e-05,117560.0,6.458333333333333
18.0,1e-05,65966.5,6.5
18.5,1e-05,40488.0,6.5
19.0,1e-05,16380.3,6.541666666666667
19.5,1e-05,3211.52,6.583333333333333
20.0,1e-05,1279.55,6.583333333333333
21.0,1e-05,560.744,6.625
22.0,1e-05,357.749,6.666666666666667
