urine rate,catheter length,bladder steady state,time to blockage
5.0,40.0,741084.0,36.0
5.0,45.0,741082.0,37.83333333333333
5.0,50.0,741081.0,39.5
5.0,55.0,741082.0,41.08333333333333
5.0,60.0,741083.0,42.58333333333333
5.0,65.0,741085.0,44.0
5.0,70.0,741087.0,45.33333333333333
5.0,75.0,741089.0,46.58333333333333
5.0,80.0,741091.0,47.75
5.0,85.0,741093.0,48.916666666666664
5.0,90.0,741095.0,50.0
5.0,95.0,741097.0,51.08333333333333
5.0,100.0,741099.0,52.08333333333333
5.0,105.0,741101.0,53.0
5.0,110.0,741103.0,53.916666666666664
5.0,115.0,741105.0,54.83333333333333
5.0,120.0,741106.0,55.666666666666664
5.0,125.0,741108.0,56.5
5.0,130.0,741109.0,57.25
5.0,135.0,741111.0,58.0
5.0,140.0,741112.0,58.75
5.0,145.0,741114.0,59.5
5.0,150.0,741115.0,60.166666666666664
5.0,155.0,741116.0,60.83333333333333
5.0,160.0,741117.0,61.5
5.0,165.0,741118.0,62.166666666666664
5.0,170.0,741119.0,62.75
5.0,175.0,741120.0,63.33333333333333
5.0,180.0,741121.0,63.916666666666664
5.0,185.0,741122.0,64.5
5.0,190.0,741123.0,65.08333333333333
5.0,195.0,741124.0,65.58333333333333
5.0,200.0,741125.0,66.08333333333333
6.0,40.0,689201.0,36.75
6.0,45.0,689199.0,38.58333333333333
6.0,50.0,689199.0,40.33333333333333
6.0,55.0,689200.0,41.916666666666664
6.0,60.0,689202.0,43.5
6.0,65.0,689204.0,44.916666666666664
6.0,70.0,689206.0,46.33333333333333
6.0,75.0,689208.0,47.666666666666664
6.0,80.0,689211.0,48.916666666666664
6.0,85.0,689213.0,50.08333333333333
6.0,90.0,689216.0,51.25
6.0,95.0,689218.0,52.33333333333333
6.0,100.0,689220.0,53.33333333333333
6.0,105.0,689222.0,54.33333333333333
6.0,110.0,689224.0,55.33333333333333
6.0,115.0,689226.0,56.25
6.0,120.0,689228.0,57.166666666666664
6.0,125.0,689230.0,58.0
6.0,130.0,689232.0,58.83333333333333
6.0,135.0,689233.0,59.666666666666664
6.0,140.0,689235.0,60.416666666666664
6.0,145.0,689236.0,61.166666666666664
6.0,150.0,689238.0,61.916666666666664
6.0,155.0,689239.0,62.58333333333333
6.0,160.0,689240.0,63.33333333333333
6.0,165.0,689242.0,64.0
6.0,170.0,689243.0,64.66666666666666
6.0,175.0,689244.0,65.25
6.0,180.0,689245.0,65.91666666666666
6.0,185.0,689246.0,66.5
6.0,190.0,689247.0,67.08333333333333
6.0,195.0,689248.0,67.66666666666666
6.0,200.0,689249.0,68.25
7.0,40.0,637326.0,37.5
7.0,45.0,637325.0,39.33333333333333
7.0,50.0,637325.0,41.08333333333333
7.0,55.0,637327.0,42.75
7.0,60.0,637329.0,44.33333333333333
7.0,65.0,637332.0,45.83333333333333
7.0,70.0,637334.0,47.25
7.0,75.0,637337.0,48.58333333333333
7.0,80.0,637340.0,49.83333333333333
7.0,85.0,637343.0,51.08333333333333
7.0,90.0,637346.0,52.25
7.0,95.0,637348.0,53.416666666666664
7.0,100.0,637351.0,54.5
7.0,105.0,637353.0,55.5
7.0,110.0,637355.0,56.5
7.0,115.0,637358.0,57.5
7.0,120.0,637360.0,58.416666666666664
7.0,125.0,637362.0,59.33333333333333
7.0,130.0,637364.0,60.166666666666664
7.0,135.0,637365.0,61.0
7.0,140.0,637367.0,61.83333333333333
7.0,145.0,637369.0,62.58333333333333
7.0,150.0,637370.0,63.416666666666664
7.0,155.0,637372.0,64.08333333333333
7.0,160.0,637373.0,64.83333333333333
7.0,165.0,637374.0,65.58333333333333
7.0,170.0,637376.0,66.25
7.0,175.0,637377.0,66.91666666666666
7.0,180.0,637378.0,67.58333333333333
7.0,185.0,637379.0,68.16666666666666
7.0,190.0,637380.0,68.83333333333333
7.0,195.0,637381.0,69.41666666666666
7.0,200.0,637382.0,70.0
8.0,40.0,585462.0,38.08333333333333
8.0,45.0,585462.0,40.0
8.0,50.0,585463.0,41.75
